timestamp,RUs_id,year,response
2025-11-04T19:24:46.277995+00:00,Agent_001,2025,No opinion
2025-11-04T19:24:46.892175+00:00,Agent_002,2025,Right direction
2025-11-04T19:24:47.299672+00:00,Agent_003,2025,Right direction
2025-11-04T19:24:47.920248+00:00,Agent_004,2025,Wrong direction
2025-11-04T19:24:48.282945+00:00,Agent_005,2025,Wrong direction
2025-11-04T19:24:48.839225+00:00,Agent_006,2025,Wrong direction
2025-11-04T19:24:49.202257+00:00,Agent_007,2025,Wrong direction
2025-11-04T19:24:49.883686+00:00,Agent_008,2025,Wrong direction
2025-11-04T19:24:50.181495+00:00,Agent_009,2025,Wrong direction
2025-11-04T19:24:50.667568+00:00,Agent_010,2025,Wrong direction
2025-11-04T19:24:51.048720+00:00,Agent_011,2025,Wrong direction
2025-11-04T19:24:51.441317+00:00,Agent_012,2025,Wrong direction
2025-11-04T19:24:52.015917+00:00,Agent_013,2025,Wrong direction
2025-11-04T19:24:52.390956+00:00,Agent_014,2025,Wrong direction
2025-11-04T19:24:52.933915+00:00,Agent_015,2025,Wrong direction
2025-11-04T19:24:53.275559+00:00,Agent_016,2025,Wrong direction
2025-11-04T19:24:53.859401+00:00,Agent_017,2025,Right direction
2025-11-04T19:24:54.780997+00:00,Agent_018,2025,Wrong direction
2025-11-04T19:24:55.299878+00:00,Agent_019,2025,Right direction
2025-11-04T19:24:55.758222+00:00,Agent_020,2025,Right direction
2025-11-04T19:24:56.310419+00:00,Agent_021,2025,Wrong direction
2025-11-04T19:24:56.729883+00:00,Agent_022,2025,Wrong direction
2025-11-04T19:24:57.243373+00:00,Agent_023,2025,Right direction
2025-11-04T19:24:57.681439+00:00,Agent_024,2025,Wrong direction
2025-11-04T19:24:58.262720+00:00,Agent_025,2025,Wrong direction
2025-11-04T19:24:59.273926+00:00,Agent_026,2025,Wrong direction
2025-11-04T19:24:59.568089+00:00,Agent_027,2025,No opinion
2025-11-04T19:25:00.002411+00:00,Agent_028,2025,Right direction
2025-11-04T19:25:01.489499+00:00,Agent_029,2025,No opinion
2025-11-04T19:25:01.944222+00:00,Agent_030,2025,Wrong direction
2025-11-04T19:25:03.170992+00:00,Agent_031,2025,Right direction
2025-11-04T19:25:03.722457+00:00,Agent_032,2025,Right direction
2025-11-04T19:25:04.153676+00:00,Agent_033,2025,Wrong direction
2025-11-04T19:25:04.640348+00:00,Agent_034,2025,No opinion
2025-11-04T19:25:04.992576+00:00,Agent_035,2025,Wrong direction
2025-11-04T19:25:05.509286+00:00,Agent_036,2025,No opinion
2025-11-04T19:25:05.844888+00:00,Agent_037,2025,Wrong direction
2025-11-04T19:25:06.185518+00:00,Agent_038,2025,Right direction
2025-11-04T19:25:07.099999+00:00,Agent_039,2025,Wrong direction
2025-11-04T19:25:07.499280+00:00,Agent_040,2025,Wrong direction
2025-11-04T19:25:08.112096+00:00,Agent_041,2025,Wrong direction
2025-11-04T19:25:08.532155+00:00,Agent_042,2025,No opinion
2025-11-04T19:25:09.045393+00:00,Agent_043,2025,Wrong direction
2025-11-04T19:25:09.370909+00:00,Agent_044,2025,Right direction
2025-11-04T19:25:09.757728+00:00,Agent_045,2025,Wrong direction
2025-11-04T19:25:10.238362+00:00,Agent_046,2025,Wrong direction
2025-11-04T19:25:10.820810+00:00,Agent_047,2025,Right direction
2025-11-04T19:25:11.373844+00:00,Agent_048,2025,Wrong direction
2025-11-04T19:25:12.800257+00:00,Agent_049,2025,Wrong direction
2025-11-04T19:25:13.442556+00:00,Agent_050,2025,Wrong direction
2025-11-04T19:25:14.356046+00:00,Agent_051,2025,Wrong direction
2025-11-04T19:25:14.644086+00:00,Agent_052,2025,Right direction
2025-11-04T19:25:15.079117+00:00,Agent_053,2025,Wrong direction
2025-11-04T19:25:16.038312+00:00,Agent_054,2025,Right direction
2025-11-04T19:25:16.894973+00:00,Agent_055,2025,Wrong direction
2025-11-04T19:25:17.314146+00:00,Agent_056,2025,Wrong direction
2025-11-04T19:25:17.795069+00:00,Agent_057,2025,Wrong direction
2025-11-04T19:25:18.191481+00:00,Agent_058,2025,Wrong direction
2025-11-04T19:25:18.594155+00:00,Agent_059,2025,No opinion
2025-11-04T19:25:19.000716+00:00,Agent_060,2025,Wrong direction
2025-11-04T19:25:19.452778+00:00,Agent_061,2025,Wrong direction
2025-11-04T19:25:20.067537+00:00,Agent_062,2025,Right direction
